Category,Phecode,ICD10,Description
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,284,D612,Aplastic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,284,D613,Aplastic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,284,D61,Aplastic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,284,D609,Aplastic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,284,D601,Aplastic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,284,D608,Aplastic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285,D649,Other anemias
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285,D648,Other anemias
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285,D64,Other anemias
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285,D644,Other anemias
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285.1,D62,Acute posthemorrhagic anemia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285.2,D638,Anemia of chronic disease
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,285.22,D630,Anemia in neoplastic disease
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.11,D680,Von willebrand's disease
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.12,D682,Congenital deficiency of other clotting factors 
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.13,D66,Congenital factor VIII disorder
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.5,D683,Hemorrhagic disorder due to intrinsic circulating anticoagulants
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.7,D68,Other and unspecified coagulation defects
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.7,D689,Other and unspecified coagulation defects
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,286.7,D688,Other and unspecified coagulation defects
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287,D698,Purpura and other hemorrhagic conditions
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287,D692,Purpura and other hemorrhagic conditions
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287,D69,Purpura and other hemorrhagic conditions
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287,D699,Purpura and other hemorrhagic conditions
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287.3,D696,Thrombocytopenia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287.31,D693,Primary thrombocytopenia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287.31,D694,Primary thrombocytopenia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287.32,D695,Secondary thrombocytopenia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,288.11,D70,Neutropenia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,288.3,D721,Eosinophilia
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289,D758,Other diseases of blood and blood-forming organs
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289,D759,Other diseases of blood and blood-forming organs
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289,D77,Other diseases of blood and blood-forming organs
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289,D892,Other diseases of blood and blood-forming organs
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289,D578,Other diseases of blood and blood-forming organs
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289,D75,Other diseases of blood and blood-forming organs
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D735,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D730,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D739,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D731,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D734,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D738,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D732,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D733,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.5,D73,Diseases of spleen
ICD10 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,289.8,D751,"Polycythemia vera, secondary"
ICD10 Mental and behavioural disorders,290.1,F021,Dementias
ICD10 Mental and behavioural disorders,290.1,F00,Dementias
ICD10 Mental and behavioural disorders,290.1,F028,Dementias
ICD10 Mental and behavioural disorders,290.1,F03,Dementias
ICD10 Mental and behavioural disorders,290.1,F020,Dementias
ICD10 Mental and behavioural disorders,290.1,F02,Dementias
ICD10 Mental and behavioural disorders,290.1,F009,Dementias
ICD10 Mental and behavioural disorders,290.11,G301,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,F000,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,F002,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,G300,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,G308,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,G309,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,F001,Alzheimer's disease
ICD10 Mental and behavioural disorders,290.11,G30,Alzheimer's disease
ICD10 Diseases of the nervous system,290.12,G311,Dementia with cerebral degenerations
ICD10 Diseases of the nervous system,290.12,F023,Dementia with cerebral degenerations
ICD10 Mental and behavioural disorders,290.16,F010,Vascular dementia
ICD10 Mental and behavioural disorders,290.16,F01,Vascular dementia
ICD10 Mental and behavioural disorders,290.16,F019,Vascular dementia
ICD10 Mental and behavioural disorders,290.16,F012,Vascular dementia
ICD10 Mental and behavioural disorders,290.16,F013,Vascular dementia
ICD10 Mental and behavioural disorders,290.16,F011,Vascular dementia
ICD10 Mental and behavioural disorders,290.2,F051,Delirium due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.2,F058,Delirium due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.2,F059,Delirium due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.2,F104,Delirium due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F066,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F195,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F194,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F620,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F192,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F024,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F191,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F181,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F182,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F193,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F065,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F199,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F190,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F185,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F198,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,290.3,F189,Other persistent mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.1,F238,Transient mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.1,F23,Transient mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.1,F061,Transient mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.1,F231,Transient mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.1,F230,Transient mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.1,F239,Transient mental disorders due to conditions classified elsewhere
ICD10 Mental and behavioural disorders,291.4,F078,Specific nonpsychotic mental disorders due to brain damage
ICD10 Mental and behavioural disorders,291.4,F071,Specific nonpsychotic mental disorders due to brain damage
ICD10 Mental and behavioural disorders,291.4,F06,Specific nonpsychotic mental disorders due to brain damage
ICD10 Mental and behavioural disorders,291.4,F072,Specific nonpsychotic mental disorders due to brain damage
ICD10 Mental and behavioural disorders,291.4,F079,Specific nonpsychotic mental disorders due to brain damage
ICD10 Mental and behavioural disorders,291.4,F070,Specific nonpsychotic mental disorders due to brain damage
ICD10 Diseases of the nervous system,291.8,G471,Alteration of consciousness
ICD10 Mental and behavioural disorders,292.2,F067,Mild cognitive impairment
ICD10 Mental and behavioural disorders,295.1,F25,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F20,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F250,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F201,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F258,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F205,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F251,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F202,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F206,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F203,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F209,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F200,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F208,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F259,Schizophrenia
ICD10 Mental and behavioural disorders,295.1,F252,Schizophrenia
ICD10 Mental and behavioural disorders,295.2,F229,Paranoid disorders
ICD10 Mental and behavioural disorders,295.2,F228,Paranoid disorders
ICD10 Mental and behavioural disorders,295.2,F22,Paranoid disorders
ICD10 Mental and behavioural disorders,295.2,F220,Paranoid disorders
ICD10 Mental and behavioural disorders,295.2,F24,Paranoid disorders
ICD10 Mental and behavioural disorders,295.2,F233,Paranoid disorders
ICD10 Mental and behavioural disorders,295.3,F060,Psychosis
ICD10 Mental and behavioural disorders,295.3,F29,Psychosis
ICD10 Mental and behavioural disorders,295.3,F232,Psychosis
ICD10 Mental and behavioural disorders,295.3,F062,Psychosis
ICD10 Mental and behavioural disorders,296,F39,Mood disorders
ICD10 Mental and behavioural disorders,296,F348,Mood disorders
ICD10 Mental and behavioural disorders,296,F380,Mood disorders
ICD10 Mental and behavioural disorders,296,F349,Mood disorders
ICD10 Mental and behavioural disorders,296,F388,Mood disorders
ICD10 Mental and behavioural disorders,296,F381,Mood disorders
ICD10 Mental and behavioural disorders,296,F063,Mood disorders
ICD10 Mental and behavioural disorders,296,F34,Mood disorders
ICD10 Mental and behavioural disorders,296.1,F315,Bipolar
ICD10 Mental and behavioural disorders,296.1,F328,Bipolar
ICD10 Mental and behavioural disorders,296.1,F317,Bipolar
ICD10 Mental and behavioural disorders,296.1,F311,Bipolar
ICD10 Mental and behavioural disorders,296.1,F318,Bipolar
ICD10 Mental and behavioural disorders,296.1,F319,Bipolar
ICD10 Mental and behavioural disorders,296.1,F316,Bipolar
ICD10 Mental and behavioural disorders,296.1,F301,Bipolar
ICD10 Mental and behavioural disorders,296.1,F313,Bipolar
ICD10 Mental and behavioural disorders,296.1,F312,Bipolar
ICD10 Mental and behavioural disorders,296.1,F300,Bipolar
ICD10 Mental and behavioural disorders,296.1,F31,Bipolar
ICD10 Mental and behavioural disorders,296.1,F308,Bipolar
ICD10 Mental and behavioural disorders,296.1,F314,Bipolar
ICD10 Mental and behavioural disorders,296.1,F30,Bipolar
ICD10 Mental and behavioural disorders,296.1,F310,Bipolar
ICD10 Mental and behavioural disorders,296.1,F309,Bipolar
ICD10 Mental and behavioural disorders,296.1,F302,Bipolar
ICD10 Mental and behavioural disorders,296.22,F333,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F334,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F330,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F204,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F332,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F338,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F331,Major depressive disorder
ICD10 Mental and behavioural disorders,296.22,F328,Major depressive disorder
ICD10 Mental and behavioural disorders,300,F488,"Anxiety, phobic and dissociative disorders"
ICD10 Mental and behavioural disorders,300,F489,"Anxiety, phobic and dissociative disorders"
ICD10 Mental and behavioural disorders,300,F480,"Anxiety, phobic and dissociative disorders"
ICD10 Mental and behavioural disorders,300,F99,"Anxiety, phobic and dissociative disorders"
ICD10 Mental and behavioural disorders,300.1,F064,Anxiety disorder
ICD10 Mental and behavioural disorders,300.1,F418,Anxiety disorder
ICD10 Mental and behavioural disorders,300.1,F412,Anxiety disorder
ICD10 Mental and behavioural disorders,300.1,F413,Anxiety disorder
ICD10 Mental and behavioural disorders,300.1,F419,Anxiety disorder
ICD10 Mental and behavioural disorders,300.11,F411,Generalized anxiety disorder
ICD10 Mental and behavioural disorders,300.12,F401,"Agorophobia, social phobia, and panic disorder"
ICD10 Mental and behavioural disorders,300.12,F410,"Agorophobia, social phobia, and panic disorder"
ICD10 Mental and behavioural disorders,300.12,F400,"Agorophobia, social phobia, and panic disorder"
ICD10 Mental and behavioural disorders,300.12,F932,"Agorophobia, social phobia, and panic disorder"
ICD10 Mental and behavioural disorders,300.13,F409,Phobia
ICD10 Mental and behavioural disorders,300.13,F40,Phobia
ICD10 Mental and behavioural disorders,300.13,F931,Phobia
ICD10 Mental and behavioural disorders,300.13,F408,Phobia
ICD10 Mental and behavioural disorders,300.13,F402,Phobia
ICD10 Mental and behavioural disorders,300.3,F429,Obsessive-compulsive disorders
ICD10 Mental and behavioural disorders,300.3,F42,Obsessive-compulsive disorders
ICD10 Mental and behavioural disorders,300.3,F420,Obsessive-compulsive disorders
ICD10 Mental and behavioural disorders,300.3,F421,Obsessive-compulsive disorders
ICD10 Mental and behavioural disorders,300.3,F422,Obsessive-compulsive disorders
ICD10 Mental and behavioural disorders,300.3,F428,Obsessive-compulsive disorders
ICD10 Mental and behavioural disorders,300.4,F341,Dysthymic disorder
ICD10 Mental and behavioural disorders,300.9,F431,Posttraumatic stress disorder
ICD10 Mental and behavioural disorders,301,F606,Personality disorders
ICD10 Mental and behavioural disorders,301,F600,Personality disorders
ICD10 Mental and behavioural disorders,301,F340,Personality disorders
ICD10 Mental and behavioural disorders,301,F607,Personality disorders
ICD10 Mental and behavioural disorders,301,F69,Personality disorders
ICD10 Mental and behavioural disorders,301,F61,Personality disorders
ICD10 Mental and behavioural disorders,301,F604,Personality disorders
ICD10 Mental and behavioural disorders,301,F681,Personality disorders
ICD10 Mental and behavioural disorders,301,F680,Personality disorders
ICD10 Mental and behavioural disorders,301,F609,Personality disorders
ICD10 Mental and behavioural disorders,301,F608,Personality disorders
ICD10 Mental and behavioural disorders,301.2,F602,Antisocial/borderline personality disorder
ICD10 Mental and behavioural disorders,301.2,F603,Antisocial/borderline personality disorder
ICD10 Mental and behavioural disorders,302,F642,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F641,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F523,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F64,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F528,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F640,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F662,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F651,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F522,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F529,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F653,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F52,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F524,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F648,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F525,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F527,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F660,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F652,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F526,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F650,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F661,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F655,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F654,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F669,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F649,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F659,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,302,F521,Sexual and gender identity disorders
ICD10 Mental and behavioural disorders,303.1,F449,Dissociative disorder
ICD10 Mental and behavioural disorders,303.1,F447,Dissociative disorder
ICD10 Mental and behavioural disorders,303.1,F44,Dissociative disorder
ICD10 Mental and behavioural disorders,303.1,F481,Dissociative disorder
ICD10 Mental and behavioural disorders,303.1,F441,Dissociative disorder
ICD10 Mental and behavioural disorders,303.1,F440,Dissociative disorder
ICD10 Mental and behavioural disorders,303.3,F458,Psychogenic disorder
ICD10 Mental and behavioural disorders,303.3,F59,Psychogenic disorder
ICD10 Mental and behavioural disorders,303.3,F453,Psychogenic disorder
ICD10 Mental and behavioural disorders,303.4,F454,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F445,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F45,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F459,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F444,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F450,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F452,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F451,Somatoform disorder
ICD10 Mental and behavioural disorders,303.4,F446,Somatoform disorder
ICD10 Mental and behavioural disorders,304,F438,Adjustment reaction
ICD10 Mental and behavioural disorders,304,F432,Adjustment reaction
ICD10 Mental and behavioural disorders,304,F948,Adjustment reaction
ICD10 Mental and behavioural disorders,304,F439,Adjustment reaction
ICD10 Mental and behavioural disorders,305.2,F983,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F501,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F509,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F508,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F505,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F50,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F503,Eating disorder
ICD10 Mental and behavioural disorders,305.2,F502,Eating disorder
ICD10 Diseases of the nervous system,306.9,G442,Tension headache
ICD10 Mental and behavioural disorders,313.3,F84,Autism
ICD10 Mental and behavioural disorders,313.3,F849,Autism
ICD10 Mental and behavioural disorders,313.3,F845,Autism
ICD10 Mental and behavioural disorders,313.3,F840,Autism
ICD10 Mental and behavioural disorders,313.3,F848,Autism
ICD10 Mental and behavioural disorders,313.3,F841,Autism
ICD10 Mental and behavioural disorders,313.3,F843,Autism
ICD10 Mental and behavioural disorders,315.1,F819,Learning disorder
ICD10 Mental and behavioural disorders,315.1,F818,Learning disorder
ICD10 Mental and behavioural disorders,315.1,F811,Learning disorder
ICD10 Mental and behavioural disorders,315.1,F810,Learning disorder
ICD10 Mental and behavioural disorders,315.1,F812,Learning disorder
ICD10 Mental and behavioural disorders,315.2,F800,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F986,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F802,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F808,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F809,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F803,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F801,Speech and language disorder
ICD10 Mental and behavioural disorders,315.2,F80,Speech and language disorder
ICD10 Mental and behavioural disorders,315.3,F789,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F79,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F799,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F73,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F729,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F72,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F719,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F70,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F71,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F708,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F701,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F790,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F711,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F700,Mental retardation
ICD10 Mental and behavioural disorders,315.3,F709,Mental retardation
ICD10 Mental and behavioural disorders,316,F140,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F134,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F114,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F112,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F142,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F129,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F165,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F141,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F168,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F130,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F132,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F133,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F169,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F115,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F131,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F111,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F119,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F153,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F125,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F150,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F158,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F55,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F128,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F152,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F149,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F159,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F163,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F122,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F110,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F145,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F117,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F161,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F113,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F155,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F10,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F121,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F151,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F162,Substance addiction and disorders
ICD10 Mental and behavioural disorders,316,F120,Substance addiction and disorders
ICD10 Diseases of the nervous system,316.1,G620,Polyneuropathy due to drugs
ICD10 Mental and behavioural disorders,317,F102,Alcohol-related disorders
ICD10 Mental and behavioural disorders,317,F108,Alcohol-related disorders
ICD10 Mental and behavioural disorders,317,F101,Alcohol-related disorders
ICD10 Mental and behavioural disorders,317,F109,Alcohol-related disorders
ICD10 Mental and behavioural disorders,317,F100,Alcohol-related disorders
ICD10 Mental and behavioural disorders,317,F105,Alcohol-related disorders
ICD10 Mental and behavioural disorders,317.1,G621,Alcoholism
ICD10 Mental and behavioural disorders,317.1,F106,Alcoholism
ICD10 Mental and behavioural disorders,317.1,F103,Alcoholism
ICD10 Mental and behavioural disorders,317.1,F107,Alcoholism
ICD10 Mental and behavioural disorders,317.1,K292,Alcoholism
ICD10 Diseases of the digestive system,317.11,K703,Alcoholic liver damage
ICD10 Diseases of the digestive system,317.11,K700,Alcoholic liver damage
ICD10 Diseases of the digestive system,317.11,K701,Alcoholic liver damage
ICD10 Diseases of the digestive system,317.11,K702,Alcoholic liver damage
ICD10 Diseases of the digestive system,317.11,K709,Alcoholic liver damage
ICD10 Diseases of the digestive system,317.11,K70,Alcoholic liver damage
ICD10 Mental and behavioural disorders,318,F179,Tobacco use disorder
ICD10 Mental and behavioural disorders,318,F170,Tobacco use disorder
ICD10 Mental and behavioural disorders,318,F174,Tobacco use disorder
ICD10 Mental and behavioural disorders,318,F171,Tobacco use disorder
ICD10 Mental and behavioural disorders,318,F172,Tobacco use disorder
ICD10 Mental and behavioural disorders,318,F173,Tobacco use disorder
ICD10 Certain infectious and parasitic diseases,320,G030,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A878,Meningitis
ICD10 Certain infectious and parasitic diseases,320,B003,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A872,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A390,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A871,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A870,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A87,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G042,Meningitis
ICD10 Certain infectious and parasitic diseases,320,B010,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G008,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G032,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G009,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G01,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G031,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G00,Meningitis
ICD10 Certain infectious and parasitic diseases,320,B021,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G000,Meningitis
ICD10 Certain infectious and parasitic diseases,320,B384,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G021,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G039,Meningitis
ICD10 Certain infectious and parasitic diseases,320,A879,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G002,Meningitis
ICD10 Certain infectious and parasitic diseases,320,B375,Meningitis
ICD10 Certain infectious and parasitic diseases,320,B451,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G001,Meningitis
ICD10 Certain infectious and parasitic diseases,320,G03,Meningitis
